1 -- I've worked in design for:,2 --I primarily work in:,3 --I'm also good at:,4 --I am currently:,5 --My company specializes in:,6 --My company is:,7 --I teach:,8 --I'm not working because:,9 --My organization has:,10 --My immediate team is:,11 --My work touches these industries or sectors:,12 --I’ve been at my current place of work for:,13 --My role is:,14 --My role is:,15 --My role is:,16 --I've been in my current role for:,17 --I typically work:,18 --My annual salary is:,19 --My job provides:,"20 --In my current role, there is:","21 --In my current role, I am:",22 --My job is:,23 --My job stability is:,"24 --In addition to my job, I also:",25 --I fuel my daily creativity with coffee:,26 --Highest level of education I've completed:,27 --I learned design:,28 --My major focus of study was:,"29 --Over my career, I've had:",30 --I've shifted my specialty or focus area:,31 --I stay current with design by:,32 --I'm a member of:,33 --I'd like to get better at:,34 --I am:,"35 --Right now, I can't stop listening to:",36 --I live in:,37 --My age is:,38 --I am:,39 --I consider myself:,40 --My ethnicity is:,41 --The most critical issues and challenges currently facing design are (answer optional):,42 --The emerging trends and technologies that will have the biggest impact on design are (answer optional):,43 --The most valuable design skills for the future will be (answer optional):
1-4 years,Graphic Design|Interaction Design|Product Design|UX Design,Brainstorming and Ideation|Coding|Drawing or Painting|Leadership|Project Management,Not working,,,,,,,,,,,,,,,,,,,,,1-2 cups,High School or less,On my own,Industrial Design,2-3 design jobs,Slowly over time,Following design feeds|Following social media|Reading online publications,IXDA,AI or Algorithm Design|Animation|Brainstorming and Ideation|Business|Coding|Data Analysis|Diversity and Inclusion|Drawing or Painting|Engineering|Facilitation|Interaction Design|Leadership|Mentoring|Motion Graphics|Photography|Product Design|Project Management|Public Speaking|Relationship Management|Research|Sales|SEO/SEM|Service Design|Social Impact Design|Social Media|Strategy|UI Design|UX Design|VR or AR Design|Web Design|Writing,Working hard to find my next job,memes,30033.0,21,Male,Not LGBTQ,Asian,"Design not having a ""seat at the table""|Diversity in design and tech",3D printing|AI and machine learning|Algorithmic design|Augmented Reality|Networked device ubiquity|Virtual Reality,Asking good questions|Communication skills|Leadership
1-4 years,Experience Design|Graphic Design|Industrial Design|Interaction Design|Photography|Product Design|Research|UI Design|UX Design|Web Design,Brainstorming and Ideation|Coding|Diversity and Inclusion|Drawing or Painting|Leadership|Mentoring|Project Management,Self-employed or freelancing,Product Design,,,,1-10 employees,5-10 people,Advertising|Architecture|Arts|Automotive|Computers|Consulting|Consumer Products|Entertainment|Industrial Goods|Information Technology|Marketing and Communications|Media and Broadcasting|Music|Technology|Transportation|Web Services,Less than 1 year,Owner/Partner,,,Less than 1 year,Less than 40 hours per week,0.0,None of these,Promising opportunity for advancement,Learning and increasing my skill set every day,The best,Fairly stable,Take occasional freelance projects|Design for friends and family|Maintain personal projects|Teach|Volunteer,"No way, tea",Bachelor's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|Through online training|In school,Industrial Design|Product Design|UX and UI,2-3 design jobs,1-2 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Having a mentor|Reading books/magazines|Reading online publications|Seeking online training,IDSA,Brainstorming and Ideation|Business|Coding|Engineering|Interaction Design|Mentoring|Project Management|Public Speaking|Research|Service Design|UI Design|UX Design|Web Design,Working hard to find my next job,party by Sik-K,19104.0,28,Male,Not LGBTQ,Asian,"Design not having a ""seat at the table""|Education cost and equity of access",AI and machine learning|Augmented Reality|Battery and energy technology|Biological or genetic design|Facial and voice recognition|Human augmentation|Miniaturization and nanotechnology|Networked device ubiquity|Virtual Reality,Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Empathy|Facilitation|Leadership|Observation and listening|Psychology and human behavior|Storytelling
5-9 years,Graphic Design,Brainstorming and Ideation|Diversity and Inclusion|Drawing or Painting|Leadership|Mentoring|Public Speaking|Sales,Not working,,,,I quit,,,,,,,,,,,,,,,,,"No way, tea",Master's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|Through online training|In school,Communication|Graphic Design|Visual Design,8-10 design jobs,3-4 times,Attending conferences|Discussing with peers|Following design feeds|Reading books/magazines|Reading online publications|Seeking online training,None of these,Animation|Brainstorming and Ideation|Diversity and Inclusion|Interaction Design|Leadership|Mentoring|Motion Graphics|Photography|Product Design|Project Management|Public Speaking|Social Impact Design|Strategy|UI Design|UX Design|Web Design,Working hard to find my next job,Gramatik,,32,Female,Not LGBTQ,White or Caucasian,"Consumer vs. social impact focus|Design not having a ""seat at the table""|Education cost and equity of access|Environmental impacts of design|Ethics in design",Augmented Reality|Behavior tracking and modeling|Biological or genetic design|Conversational interfaces|Democratization of design|Facial and voice recognition|Image recognition|Internet of Things,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-functional skills|Empathy|Interpersonal skills|Leadership|Managing complexity|Observation and listening|Psychology and human behavior|Storytelling
20+ years,Communication Design|Graphic Design|Illustration|Marketing|Packaging Design|Photography|Production|Social Impact Design,Brainstorming and Ideation|Diversity and Inclusion|Mentoring|Project Management|Social Media,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,3-4 cups,Bachelor's degree,On my own|On the job,Other,4-5 design jobs,1-2 times,Discussing with peers|Following social media|Reading online publications|Seeking online training,None of these,Animation|Brainstorming and Ideation|Business|Diversity and Inclusion|Drawing or Painting|Interaction Design|Leadership|Motion Graphics|Photography|Product Design|Project Management|Public Speaking|Relationship Management|Research|Social Impact Design|Social Media|Strategy|Web Design|Writing,Working hard to find my next job,Rend Collective,58501.0,51,Male,LGBTQ,White or Caucasian,"Design not having a ""seat at the table""|Diversity in design and tech|Education cost and equity of access|Ethics in design|Generational differences in the workforce",3D printing|AI and machine learning|Augmented Reality|Biological or genetic design|Conversational interfaces|Crowdsourcing and open source|Facial and voice recognition|Image recognition|Miniaturization and nanotechnology|Virtual Reality,Adaptability to tech and social change|Cross-cultural skills|Cross-functional skills|Empathy|Improvisation|Interpersonal skills|Leadership|Managing complexity|Observation and listening|Psychology and human behavior|Risk tolerance|Voice interface design
10-14 years,Environmental Design|Experience Design|Film and Video|Front-end Development|Graphic Design|Illustration|Industrial Design|Motion Graphics|Social Impact Design|Web Design,Brainstorming and Ideation|Coding|Data Analysis|Diversity and Inclusion|Drawing or Painting|Leadership|Mentoring|Public Speaking|Sales|Writing,Not working,,,,I quit,,,,,,,,,,,,,,,,,"No way, tea",Bachelor's degree,In school,Graphic Design,6-7 design jobs,Always ready for what's next,Attending conferences|Discussing with peers|Following design feeds|Following social media|Having a mentor|Reading books/magazines|Reading online publications|Seeking online training,AIGA|Creative Mornings,Animation|Brainstorming and Ideation|Business|Coding|Data Analysis|Diversity and Inclusion|Drawing or Painting|Leadership|Mentoring|Motion Graphics|Photography|Public Speaking|Relationship Management|Sales|SEO/SEM|Service Design|Social Impact Design|Strategy|UX Design|Web Design|Writing,Working hard to find my next job,Whatever is on KCRW,20011.0,36,Female,Not LGBTQ,Black or African American,Consumer vs. social impact focus|Ethics in design,Algorithmic design|Augmented Reality|Distributed teams and virtual workplace|Facial and voice recognition|Image recognition,Adaptability to tech and social change|Cross-cultural skills|Cross-functional skills|Interpersonal skills|Leadership|Managing complexity|Observation and listening|Psychology and human behavior|Risk tolerance|Systems thinking
15-20 years,Automotive Design|Experience Design|Product Design|Strategy|UI Design|UX Design,Brainstorming and Ideation|Business|Data Analysis|Facilitation|Leadership|Mentoring|Project Management|Public Speaking|Relationship Management,A full-time employee in-house,,For-Profit/Corporate,,,1000+ employees,5-10 people,Automotive|Consumer Products|Transportation,3-4 years,,Group Leader,,5-7 years,41-50 hours per week,500000.0,Commuting Benefits|Dental Insurance|Disability Insurance|Education Funding|Employer-matched Retirement|Fitness Benefits|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development|Professional Memberships|Profit Sharing or Stock Options|Wellness Programs,Promising opportunity for advancement,Learning some new skills,Pretty good,Fairly stable,Maintain personal projects,"No way, tea",Master's degree,In school,Product Design|UX and UI,8-10 design jobs,0 times,Discussing with peers|Following design feeds|Reading online publications,None of these,Leadership|Mentoring|Strategy,"Open to opportunities, but not actively looking",NIN,94114.0,43,Male,LGBTQ,White or Caucasian,"Design not having a ""seat at the table""",Algorithmic design|Augmented Reality|Behavior tracking and modeling|Conversational interfaces|Facial and voice recognition|Quantum computing|Virtual Reality,Algorithm and data model design|Communication skills|Data analysis|Interpersonal skills|Leadership|Storytelling|Systems thinking
1-4 years,Animation|Graphic Design|Instructional Design|UI Design,Brainstorming and Ideation|Coding|Data Analysis|Drawing or Painting|Writing,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,Other,Bachelor's degree,On my own|On the job|In school,Graphic Design,1 design job,1-2 times,Following social media|Reading online publications|Seeking online training,None of these,AI or Algorithm Design|Animation|Brainstorming and Ideation|Coding|Data Analysis|Drawing or Painting|Motion Graphics|Product Design|Project Management|Research|Social Media|UI Design|VR or AR Design|Web Design|Writing,Casually looking for the right opportunity,A variety of little known music genres.,77070.0,27,Male,LGBTQ,White or Caucasian,Dark UX patterns|Diversity in design and tech|Education cost and equity of access|Ethics in design|Generational differences in the workforce,3D printing|AI and machine learning|Algorithmic design|Augmented Reality|Conversational interfaces|Image recognition|Internet of Things|Virtual Reality,Adaptability to tech and social change|Algorithm and data model design|Communication skills|Cross-cultural skills|Cross-functional skills|Data analysis|Managing complexity|Psychology and human behavior|Storytelling
1-4 years,Graphic Design|Photography|Web Design,Brainstorming and Ideation|Drawing or Painting,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,"No way, tea",Some college,In school,Art|Design and Technology|Graphic Design|Photography|Printing or Print Making|Visual Design|Website Design,1 design job,Always ready for what's next,Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications,None of these,AI or Algorithm Design|Animation|Brainstorming and Ideation|Business|Coding|Data Analysis|Diversity and Inclusion|Drawing or Painting|Engineering|Facilitation|Motion Graphics|Photography|Product Design|Writing,Working hard to find my next job,sean paul,23220.0,20,Female,Not LGBTQ,White or Caucasian,Diversity in design and tech,3D printing|Virtual Reality,DIY or maker mentality
10-14 years,Production|UX Design|Web Design,Brainstorming and Ideation|Coding|Data Analysis|Diversity and Inclusion|Engineering|Facilitation|Leadership|Project Management|Relationship Management|SEO/SEM|Social Media|Writing,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,5-6 cups,Bachelor's degree,On my own,Other,6-7 design jobs,1-2 times,Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,Creative Mornings,AI or Algorithm Design|Business|Coding|Data Analysis|Engineering|Interaction Design|Leadership|Mentoring|Photography|Product Design|Public Speaking|SEO/SEM|Service Design|UI Design,Working hard to find my next job,portishead,97212.0,39,Female,Not LGBTQ,White or Caucasian,Environmental impacts of design|Ethics in design,AI and machine learning|Augmented Reality|Battery and energy technology|Behavior tracking and modeling|Biological or genetic design|Facial and voice recognition|Image recognition|Networked device ubiquity|Virtual Reality,Adaptability to tech and social change|Architecture and environmental design|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Empathy|Improvisation|Psychology and human behavior|Risk tolerance
Less than 1 year,Photography,Brainstorming and Ideation|Project Management|Sales,Not working,,,,I'm retired or semi-retired,,,,,,,,,,,,,,,,,1-2 cups,Some college,From programs or workshops,Art|Photography|Other,4-5 design jobs,3-4 times,Following design feeds|Reading books/magazines|Reading online publications,None of these,Photography|Sales,"Open to opportunities, but not actively looking",Stuff you should have learned in History clsss,2909.0,57,Female,LGBTQ,White or Caucasian,Algorithm bias|Diversity in design and tech|Education cost and equity of access|Environmental impacts of design|Ethics in design|Trademark and patent issues,3D printing|AI and machine learning|Behavior tracking and modeling|Crowdsourcing and open source|Distributed teams and virtual workplace|Image recognition|Quantum computing|Virtual Reality,Adaptability to tech and social change|Algorithm and data model design|Asking good questions|Cross-cultural skills|DIY or maker mentality|Empathy|Improvisation|Interpersonal skills|Leadership|Observation and listening|Play|Scientific methods|Voice interface design
15-20 years,Communication Design|Illustration|Instructional Design|Marketing|Strategy|UI Design|Web Design,Brainstorming and Ideation|Business|Drawing or Painting|Public Speaking|Writing,A full-time employee at an agency or consultancy,Advertising|Digital|Service Design|Strategy,,,,11-50 employees,11-20 people,Accounting|Advertising|Computers|Consulting|Education|Electronics|Energy|Entertainment|Food and Beverage|Government|Health Care|Industrial Goods|Insurance|Legal|Marketing and Communications|Pharmaceutical|Publishing|Technology|Telecommunications|Travel and Tourism|Web Services,8-10 years,Creative Director,,,8-10 years,40 hours per week,0.0,Life Insurance|Medical Insurance|Professional Development,Promising opportunity for advancement,Learning and increasing my skill set every day,Pretty good,Fairly stable,Design for friends and family|Teach,3-4 cups,Associate's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|Through online training|In school,Advertising|Communication|Design and Technology|Digital Media|Graphic Design|Illustration|Marketing|Photography|Strategic Design Management|UX and UI|Visual Design|Website Design,4-5 design jobs,3-4 times,Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,None of these,Brainstorming and Ideation|Business|Coding|Data Analysis|Interaction Design|Leadership|Mentoring|Photography|Public Speaking|Relationship Management|Research|Sales|Social Media|Strategy|UI Design|UX Design|Web Design|Writing,"Open to opportunities, but not actively looking",Music,,30,Male,Not LGBTQ,"Latina, Latino, Latinx, or Hispanic|White or Caucasian","Advertising supported content model|Algorithm bias|Design not having a ""seat at the table""|Diversity in design and tech|Education cost and equity of access|Environmental impacts of design|Ethics in design|Generational differences in the workforce|Human-machine interface limitations|Machine ethics|Software complexity|Trademark and patent issues",AI and machine learning|Algorithmic design|Battery and energy technology|Conversational interfaces|Crowdsourcing and open source|Democratization of design|Facial and voice recognition|Image recognition|Internet of Things|Networked device ubiquity|Quantum computing,Adaptability to tech and social change|Algorithm and data model design|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Data analysis|Empathy|Improvisation|Interpersonal skills|Leadership|Managing complexity|Observation and listening|Psychology and human behavior|Risk tolerance|Scientific methods|Storytelling|Voice interface design
1-4 years,Communication Design|Graphic Design|Illustration|UI Design|Web Design,Brainstorming and Ideation|Data Analysis|Leadership|Social Media,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,From a mentor or apprenticeship|On the job|In school,Communication|Graphic Design,2-3 design jobs,1-2 times,Discussing with peers|Following design feeds,Creative Mornings|TDC,AI or Algorithm Design|Coding|Data Analysis|VR or AR Design,"Open to opportunities, but not actively looking",nothing,2134.0,24,Female,Prefer not to say,Asian,"Design not having a ""seat at the table""|Ethics in design",3D printing|Biological or genetic design|Image recognition|Internet of Things,Architecture and environmental design|Cross-cultural skills|Managing complexity
Less than 1 year,Education,Social Media,Other,,,,,Not sure,Just me,Arts,10+ years,,,,Less than 1 year,Less than 40 hours per week,0.0,None of these,Not sure,Learning and increasing my skill set every day,The best,Rock solid,Design for friends and family,1-2 cups,High School or less,On my own,UX and UI,1 design job,0 times,Reading online publications|Seeking online training,None of these,UX Design,Working hard to find my next job,failure,,18,Male,Not LGBTQ,Asian,Diversity in design and tech,Internet of Things,Play
Less than 1 year,Graphic Design,Brainstorming and Ideation|Business|Coding|Drawing or Painting|Engineering|Leadership,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,1-2 cups,Some college,On my own|Through online training|In school,Computer Science|Design and Technology|Graphic Design|Information Technology,1 design job,0 times,Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,None of these,Brainstorming and Ideation|Business|Coding|Drawing or Painting|Engineering|Leadership|Mentoring|Public Speaking|UI Design|UX Design|VR or AR Design|Web Design,Casually looking for the right opportunity,The Lighthouse and the Whaler,78045.0,20,Female,Not LGBTQ,"Latina, Latino, Latinx, or Hispanic","Consumer vs. social impact focus|Design not having a ""seat at the table""|Diversity in design and tech|Education cost and equity of access|Trademark and patent issues",AI and machine learning|Algorithmic design|Augmented Reality|Conversational interfaces|Democratization of design|Distributed teams and virtual workplace|Facial and voice recognition|Image recognition|Virtual Reality,Algorithm and data model design|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Data analysis|DIY or maker mentality|Empathy|Interpersonal skills|Managing complexity|Observation and listening|Play|Systems thinking
5-9 years,Graphic Design|Interaction Design|Motion Graphics|UI Design|UX Design|Web Design,Brainstorming and Ideation|Drawing or Painting|Project Management,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,On my own|Through online training|In school,Art|Digital Media|Graphic Design|Illustration|Information Technology|Multimedia|Printing or Print Making|Visual Design|Website Design,2-3 design jobs,1-2 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Reading online publications,AIGA|IXDA,AI or Algorithm Design|Animation|Business|Data Analysis|Engineering|Leadership|Motion Graphics|Product Design|Project Management|SEO/SEM|Social Impact Design|VR or AR Design,Working hard to find my next job,Whatever spotify gives me.,43231.0,28,Male,Not LGBTQ,White or Caucasian,"Advertising supported content model|Consumer vs. social impact focus|Dark UX patterns|Design not having a ""seat at the table""|Ethics in design|Generational differences in the workforce|Human-machine interface limitations|Software complexity",3D printing|AI and machine learning|Augmented Reality|Biological or genetic design|Democratization of design|Human augmentation|Internet of Things|Virtual Reality,Cross-cultural skills|Empathy|Observation and listening|Psychology and human behavior|Storytelling
Less than 1 year,Communication Design|Photography,Drawing or Painting|Social Media,Not working,,,,,,,,,,,,,,,,,,,,,Other,Some college,From programs or workshops|On my own,Art|Computer Science|Digital Media|Film and Production|Gaming|Photography|Website Design,1 design job,0 times,Discussing with peers|Following design feeds|Following social media,None of these,Leadership|Photography|Web Design,Casually looking for the right opportunity,St. Clarity by the paper kites...lol,77449.0,18,Male,Not LGBTQ,Black or African American|White or Caucasian,None of these,3D printing|AI and machine learning|Augmented Reality|Battery and energy technology|Behavior tracking and modeling|Biological or genetic design|Facial and voice recognition|Human augmentation|Quantum computing|Virtual Reality,Adaptability to tech and social change|Communication skills|Interpersonal skills|Leadership|Scientific methods|Systems thinking|Voice interface design
1-4 years,Communication Design|Film and Video|Motion Graphics|Photography|Production,Brainstorming and Ideation|Coding|Data Analysis|Public Speaking|Social Media,A full-time employee in-house,,For-Profit/Corporate,,,1-10 employees,2-4 people,Advertising|Apparel and Accessories|Arts|Media and Broadcasting|Music,3-4 years,,Team Leader,,3-4 years,Less than 40 hours per week,0.0,None of these,Some opportunity for advancement,Learning some new skills,Pretty good,Fairly stable,Take occasional freelance projects|Design for friends and family|Maintain personal projects|Volunteer,"No way, tea",Bachelor's degree,On my own|Through online training,Graphic Design,8-10 design jobs,1-2 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Having a mentor|Reading online publications|Seeking online training,None of these,Drawing or Painting|Leadership|Mentoring|UI Design|Web Design,Working hard to find my next job,"Bon Iver, Noah Gunderson, Elevation Worship",44511.0,18,Male,Not LGBTQ,White or Caucasian,None of these,None of these,Architecture and environmental design|Asking good questions|DIY or maker mentality|Storytelling|Voice interface design
1-4 years,Graphic Design,Social Media|Writing,Not working,,,,,,,,,,,,,,,,,,,,,"No way, tea",High School or less,From a mentor or apprenticeship|From programs or workshops|On my own,Graphic Design,2-3 design jobs,1-2 times,Discussing with peers|Following social media|Having a mentor,None of these,Business|Coding|Photography|Web Design,Not interested in a new job right now,City of Stars,89052.0,18,Female,Not LGBTQ,Black or African American,None of these,3D printing|Internet of Things,Adaptability to tech and social change|Cross-cultural skills
Less than 1 year,Graphic Design,Drawing or Painting,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,Other,Some college,On my own|Through online training|In school,Art|Graphic Design|Painting|Photography,1 design job,1-2 times,Discussing with peers|Following social media|Reading books/magazines|Seeking online training,None of these,AI or Algorithm Design|Brainstorming and Ideation|Business|Motion Graphics|Public Speaking|VR or AR Design|Writing,"Open to opportunities, but not actively looking",Peter Doherty,91103.0,23,Male,LGBTQ,Asian,Algorithm bias|Environmental impacts of design|Ethics in design,AI and machine learning|Augmented Reality|Internet of Things,Algorithm and data model design|Observation and listening|Play|Psychology and human behavior|Storytelling
1-4 years,Graphic Design|Illustration|Interaction Design|UI Design|UX Design,Brainstorming and Ideation|Drawing or Painting|Writing,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,"No way, tea",Bachelor's degree,From programs or workshops|On my own|On the job|In school,Design and Technology|Digital Media|UX and UI|Visual Design,2-3 design jobs,1-2 times,Attending conferences|Discussing with peers|Following design feeds|Reading books/magazines|Reading online publications|Seeking online training,None of these,Animation|Brainstorming and Ideation|Coding|Data Analysis|Drawing or Painting|Interaction Design|Project Management|Research|Social Impact Design|UI Design|UX Design|VR or AR Design|Web Design,Casually looking for the right opportunity,36 Questions (podcast musical) and 99% invisible (podcast),,22,Female,LGBTQ,Asian,"Dark UX patterns|Design not having a ""seat at the table""|Diversity in design and tech|Human-machine interface limitations|Software complexity|Trademark and patent issues",3D printing|AI and machine learning|Behavior tracking and modeling|Conversational interfaces|Crowdsourcing and open source|Democratization of design|Facial and voice recognition|Image recognition|Internet of Things|Quantum computing,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-functional skills|Empathy|Interpersonal skills|Observation and listening|Storytelling
1-4 years,Web Design,Engineering,Self-employed or freelancing,None of these,,,,1-10 employees,Just me,Insurance|Legal,1-2 years,Executive,,,1-2 years,41-50 hours per week,0.0,None of these,Not sure,Learning and increasing my skill set every day,The best,Somewhat shaky,Design for friends and family,1-2 cups,Some college,On my own|On the job|Through online training,UX and UI,1 design job,0 times,Reading books/magazines|Reading online publications|Seeking online training,None of these,AI or Algorithm Design|Animation|Brainstorming and Ideation|Business|Coding|Engineering|Interaction Design|Leadership|Mentoring|Motion Graphics|Photography|Product Design|Project Management|Public Speaking|Sales|SEO/SEM|UI Design|UX Design|Web Design|Writing,Not interested in a new job right now,Tycho,92708.0,21,Male,Not LGBTQ,White or Caucasian,Trademark and patent issues,Internet of Things,Storytelling
1-4 years,Communication Design|Graphic Design|Interior Design|Marketing|Research|UX Design|Web Design,Brainstorming and Ideation|Data Analysis|Drawing or Painting|Leadership|Mentoring|Social Media|Writing,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|Through online training|In school,Advertising|Communication|Digital Media|Graphic Design|Marketing|Photography|Printing or Print Making|UX and UI|Visual Design|Website Design,2-3 design jobs,1-2 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications,AAF|Ad Club|AIGA|Creative Mornings,Business|Coding|Data Analysis|Interaction Design|Photography|Product Design|Public Speaking|Research|Social Media|UI Design|UX Design|Web Design|Writing,Working hard to find my next job,99% Invisible with Roman Mars,14228.0,24,Female,Not LGBTQ,White or Caucasian,"Advertising supported content model|Design not having a ""seat at the table""|Diversity in design and tech|Education cost and equity of access",Algorithmic design|Behavior tracking and modeling|Biological or genetic design|Conversational interfaces|Distributed teams and virtual workplace|Human augmentation|Image recognition|Internet of Things|Networked device ubiquity,Adaptability to tech and social change|Algorithm and data model design|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Data analysis|DIY or maker mentality|Empathy|Improvisation|Interpersonal skills|Leadership|Managing complexity|Play|Risk tolerance|Scientific methods|Storytelling|Systems thinking
15-20 years,Communication Design|Experience Design|Front-end Development|Graphic Design|Interaction Design|Marketing|Product Design|Strategy|UI Design|UX Design|Web Design,Brainstorming and Ideation|Coding|Diversity and Inclusion|Relationship Management|Social Media|Writing,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,3-4 cups,Some college,On my own,Design and Technology|Digital Media|Gaming|Graphic Design|Information Technology|UX and UI|Visual Design|Website Design,10+ design jobs,Always ready for what's next,Attending conferences|Discussing with peers|Following design feeds|Following social media|Reading online publications|Seeking online training,None of these,AI or Algorithm Design|Animation|Brainstorming and Ideation|Data Analysis|Drawing or Painting|Engineering|Motion Graphics|Project Management|Relationship Management|Research|Social Impact Design|Social Media|Strategy|VR or AR Design,Casually looking for the right opportunity,the sound of capitalism falling,97214.0,31,Female,LGBTQ,White or Caucasian,"Dark UX patterns|Design not having a ""seat at the table""|Diversity in design and tech|Education cost and equity of access|Ethics in design|Generational differences in the workforce|Software complexity",AI and machine learning|Augmented Reality|Behavior tracking and modeling|Biological or genetic design|Crowdsourcing and open source|Distributed teams and virtual workplace|Internet of Things|Virtual Reality,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-functional skills|Empathy|Managing complexity|Psychology and human behavior|Storytelling
5-9 years,UI Design,Brainstorming and Ideation|Data Analysis|Diversity and Inclusion|Drawing or Painting|SEO/SEM|Social Media,Self-employed or freelancing,Social Impact,,,,1-10 employees,5-10 people,Arts|Education|Marketing and Communications,Less than 1 year,Executive,,,Less than 1 year,Less than 40 hours per week,0.0,None of these,Not sure,Learning and increasing my skill set every day,Pretty good,Non-existent,Take occasional freelance projects|Have a part-time job|Maintain personal projects|Volunteer,"No way, tea",Some college,On my own|On the job,Graphic Design,2-3 design jobs,1-2 times,Discussing with peers|Following design feeds|Following social media|Reading books/magazines,None of these,Coding|Motion Graphics|UI Design|UX Design|Web Design,Casually looking for the right opportunity,Natalia Lafourcade,94536.0,22,Female,LGBTQ,"Latina, Latino, Latinx, or Hispanic",Diversity in design and tech,AI and machine learning|Crowdsourcing and open source|Distributed teams and virtual workplace|Virtual Reality,Asking good questions|Cross-cultural skills|DIY or maker mentality|Leadership|Managing complexity|Psychology and human behavior|Storytelling|Voice interface design
Less than 1 year,Communication Design|Graphic Design,Brainstorming and Ideation|Mentoring|Public Speaking|Writing,Not working,,,,,,,,,,,,,,,,,,,,,"No way, tea",Master's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|In school,Graphic Design,4-5 design jobs,0 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications,None of these,Business|Leadership|Mentoring|Project Management|Public Speaking|Relationship Management|Research|Writing,Working hard to find my next job,Punkrock,,27,Male,Not LGBTQ,White or Caucasian,"Consumer vs. social impact focus|Design not having a ""seat at the table""|Environmental impacts of design|Ethics in design|Machine ethics",AI and machine learning|Augmented Reality|Behavior tracking and modeling|Biological or genetic design|Democratization of design|Distributed teams and virtual workplace|Human augmentation|Internet of Things|Virtual Reality,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-functional skills|Empathy|Improvisation|Interpersonal skills|Managing complexity|Observation and listening|Risk tolerance|Systems thinking
5-9 years,Front-end Development|Marketing|UI Design|UX Design|Web Design,Brainstorming and Ideation|Business|Coding|Engineering|Leadership|Public Speaking|Sales|Social Media|Writing,Self-employed or freelancing,Advertising|Broadcast,,,,1-10 employees,2-4 people,Advertising|Consulting|Information Technology|Media and Broadcasting|Publishing|Web Services,3-4 years,Owner/Partner,,,3-4 years,41-50 hours per week,0.0,None of these,Not sure,Learning and increasing my skill set every day,The best,Fairly stable,Have regular freelance clients|Design for friends and family,Other,Technical degree or certificate,On my own,UX and UI|Website Design,2-3 design jobs,Always ready for what's next,Attending conferences|Following design feeds|Following social media|Seeking online training,None of these,Animation|Business|Coding|Leadership|Product Design|Project Management,Casually looking for the right opportunity,Business Strategy Videos,,22,Male,Not LGBTQ,White or Caucasian,,Behavior tracking and modeling|Crowdsourcing and open source|Distributed teams and virtual workplace|Facial and voice recognition|Image recognition|Quantum computing|Virtual Reality,Communication skills|DIY or maker mentality|Empathy|Interpersonal skills|Psychology and human behavior
